"sample_id","file","fh_null_mean_mse","fh_full_mean_mse","bhf_mean_mse","fh_null_ok","fh_full_ok","bhf_ok","bhf_dropped_predictors","error_msg"
"sample_043","../../data_raw/samples/transformed/sample_043.RDS",0.871446402780513,0.396023836303317,0.360888058118341,TRUE,TRUE,TRUE,"",NA
"sample_044","../../data_raw/samples/transformed/sample_044.RDS",0.777522777546751,0.132514934377475,0.349364967990176,TRUE,TRUE,TRUE,"",NA
"sample_045","../../data_raw/samples/transformed/sample_045.RDS",0.828677184061355,0.435218783278778,0.378917021129262,TRUE,TRUE,TRUE,"",NA
"sample_046","../../data_raw/samples/transformed/sample_046.RDS",0.841016973153519,0.435954773901329,0.408499854183529,TRUE,TRUE,TRUE,"",NA
"sample_047","../../data_raw/samples/transformed/sample_047.RDS",0.81006469000061,0.391924074473513,0.4285735985649,TRUE,TRUE,TRUE,"",NA
"sample_048","../../data_raw/samples/transformed/sample_048.RDS",0.800000295079693,0.355242809189634,0.340680931909762,TRUE,TRUE,TRUE,"",NA
"sample_049","../../data_raw/samples/transformed/sample_049.RDS",0.842152833982533,0.490383677281024,0.400162895233488,TRUE,TRUE,TRUE,"",NA
"sample_050","../../data_raw/samples/transformed/sample_050.RDS",0.838985191050779,0.366644662529904,0.410394288944009,TRUE,TRUE,TRUE,"",NA
"sample_051","../../data_raw/samples/transformed/sample_051.RDS",0.842794576470152,0.257756748090229,0.411984473383616,TRUE,TRUE,TRUE,"",NA
"sample_052","../../data_raw/samples/transformed/sample_052.RDS",0.827312537572469,0.489727371216175,0.397229460643884,TRUE,TRUE,TRUE,"",NA
"sample_053","../../data_raw/samples/transformed/sample_053.RDS",0.816374713350996,0.392972374855351,0.398798975056448,TRUE,TRUE,TRUE,"",NA
"sample_054","../../data_raw/samples/transformed/sample_054.RDS",0.859027675008378,0.46157194716925,0.375826652501225,TRUE,TRUE,TRUE,"",NA
"sample_055","../../data_raw/samples/transformed/sample_055.RDS",0.85237013938723,0.540329044316433,0.414109068675899,TRUE,TRUE,TRUE,"",NA
"sample_056","../../data_raw/samples/transformed/sample_056.RDS",0.811086428929055,0.415522827409918,0.407691322225799,TRUE,TRUE,TRUE,"",NA
"sample_057","../../data_raw/samples/transformed/sample_057.RDS",0.831774635411775,0.210777375208438,0.367789585840095,TRUE,TRUE,TRUE,"",NA
"sample_058","../../data_raw/samples/transformed/sample_058.RDS",0.789266140791564,0.190027154686645,0.349402217097749,TRUE,TRUE,TRUE,"",NA
"sample_059","../../data_raw/samples/transformed/sample_059.RDS",0.855721618946066,0.382638081519526,0.419388833011954,TRUE,TRUE,TRUE,"",NA
"sample_060","../../data_raw/samples/transformed/sample_060.RDS",0.826568877264223,0.266673888034048,0.395656232830483,TRUE,TRUE,TRUE,"",NA
"sample_061","../../data_raw/samples/transformed/sample_061.RDS",0.833228350209117,0.20336598050256,0.370768070298038,TRUE,TRUE,TRUE,"",NA
"sample_062","../../data_raw/samples/transformed/sample_062.RDS",0.821327150337861,0.37850976804236,0.398833876399369,TRUE,TRUE,TRUE,"",NA
"sample_063","../../data_raw/samples/transformed/sample_063.RDS",0.871969196728549,0.368346346735676,0.380497675127105,TRUE,TRUE,TRUE,"",NA
"sample_064","../../data_raw/samples/transformed/sample_064.RDS",0.7716347265338,0.125762902359663,0.3444412341415,TRUE,TRUE,TRUE,"",NA
"sample_065","../../data_raw/samples/transformed/sample_065.RDS",0.828136329150523,0.411504878252102,0.393492654274386,TRUE,TRUE,TRUE,"",NA
"sample_066","../../data_raw/samples/transformed/sample_066.RDS",0.793200555566308,0.457148939892863,0.403409609957611,TRUE,TRUE,TRUE,"",NA
"sample_067","../../data_raw/samples/transformed/sample_067.RDS",0.778633069294345,0.473065482642216,0.408279066518679,TRUE,TRUE,TRUE,"",NA
"sample_068","../../data_raw/samples/transformed/sample_068.RDS",0.847417096695198,0.238312963399426,0.444250682635722,TRUE,TRUE,TRUE,"",NA
"sample_069","../../data_raw/samples/transformed/sample_069.RDS",0.795158189488483,0.227382219632989,0.376390183612284,TRUE,TRUE,TRUE,"",NA
"sample_070","../../data_raw/samples/transformed/sample_070.RDS",0.819686175051813,0.358698281846334,0.369604282939178,TRUE,TRUE,TRUE,"",NA
"sample_071","../../data_raw/samples/transformed/sample_071.RDS",0.842441982069091,0.23426509769147,0.393424847350526,TRUE,TRUE,TRUE,"",NA
"sample_072","../../data_raw/samples/transformed/sample_072.RDS",0.839567663737138,0.431208072610962,0.414966696946451,TRUE,TRUE,TRUE,"",NA
"sample_073","../../data_raw/samples/transformed/sample_073.RDS",0.812541422111658,0.51836793921847,0.384245809726116,TRUE,TRUE,TRUE,"",NA
"sample_074","../../data_raw/samples/transformed/sample_074.RDS",0.87387041216398,0.50484965992957,0.409717913580935,TRUE,TRUE,TRUE,"",NA
"sample_075","../../data_raw/samples/transformed/sample_075.RDS",0.865990954888638,0.524923398742803,0.464813144785265,TRUE,TRUE,TRUE,"",NA
"sample_076","../../data_raw/samples/transformed/sample_076.RDS",0.867667093772291,0.433620263072887,0.45398178429641,TRUE,TRUE,TRUE,"",NA
