"sample_id","file","fh_null_mean_mse","fh_full_mean_mse","bhf_mean_mse","fh_null_ok","fh_full_ok","bhf_ok","error_msg"
"sample_044","../../data_raw/samples/transformed/sample_044.RDS",0.778175309807368,0.189853321525273,0.273238126525429,TRUE,TRUE,TRUE,NA
"sample_045","../../data_raw/samples/transformed/sample_045.RDS",0.829342551178141,0.492515750719086,0.339336946675279,TRUE,TRUE,TRUE,NA
"sample_046","../../data_raw/samples/transformed/sample_046.RDS",0.84184924124104,0.448694921531814,0.336232432258232,TRUE,TRUE,TRUE,NA
"sample_047","../../data_raw/samples/transformed/sample_047.RDS",0.81081283904361,0.443884681447871,0.386197731781862,TRUE,TRUE,TRUE,NA
"sample_048","../../data_raw/samples/transformed/sample_048.RDS",0.800516769086779,0.386397980883426,0.266444719788582,TRUE,TRUE,TRUE,NA
"sample_049","../../data_raw/samples/transformed/sample_049.RDS",0.842949915701325,0.519109976126757,0.34230103786449,TRUE,TRUE,TRUE,NA
"sample_050","../../data_raw/samples/transformed/sample_050.RDS",0.839650761937855,0.433837178609398,0.341398837674289,TRUE,TRUE,TRUE,NA
"sample_051","../../data_raw/samples/transformed/sample_051.RDS",0.843575489753199,0.26146681630885,0.333415655039879,TRUE,TRUE,TRUE,NA
"sample_052","../../data_raw/samples/transformed/sample_052.RDS",0.828072557645041,0.546937157082341,0.325157669703667,TRUE,TRUE,TRUE,NA
"sample_053","../../data_raw/samples/transformed/sample_053.RDS",0.817077093615365,0.452928322019292,0.356740411996701,TRUE,TRUE,TRUE,NA
"sample_054","../../data_raw/samples/transformed/sample_054.RDS",0.859811620655681,0.489434858422846,0.3190477700898,TRUE,TRUE,TRUE,NA
"sample_055","../../data_raw/samples/transformed/sample_055.RDS",0.853129547663406,0.53456594974865,0.376199324238686,TRUE,TRUE,TRUE,NA
"sample_056","../../data_raw/samples/transformed/sample_056.RDS",0.811792840349169,0.460049893925601,0.316430758842215,TRUE,TRUE,TRUE,NA
"sample_057","../../data_raw/samples/transformed/sample_057.RDS",0.832498010562069,0.274716142047747,0.275740010466338,TRUE,TRUE,TRUE,NA
"sample_058","../../data_raw/samples/transformed/sample_058.RDS",0.789893955508543,0.254865650022584,0.270566885205833,TRUE,TRUE,TRUE,NA
"sample_059","../../data_raw/samples/transformed/sample_059.RDS",0.856517906545351,0.417957785771869,0.361082540371188,TRUE,TRUE,TRUE,NA
"sample_060","../../data_raw/samples/transformed/sample_060.RDS",0.827317186604824,0.325196866226459,0.35337952295506,TRUE,TRUE,TRUE,NA
