"sample_id","file","fh_null_mean_mse","fh_full_mean_mse","bhf_mean_mse","fh_null_ok","fh_full_ok","bhf_ok","bhf_dropped_predictors","error_msg"
"sample_042","../../data_raw/samples/transformed-2/sample_042.RDS",0.888407346015952,0.263037683031589,0.283876899438367,TRUE,TRUE,TRUE,"",NA
"sample_043","../../data_raw/samples/transformed-2/sample_043.RDS",0.871446402785934,0.419441756143959,0.291685123332833,TRUE,TRUE,TRUE,"",NA
"sample_044","../../data_raw/samples/transformed-2/sample_044.RDS",0.777522777530785,0.161005423454642,0.262094347774203,TRUE,TRUE,TRUE,"",NA
"sample_045","../../data_raw/samples/transformed-2/sample_045.RDS",0.828677184051185,0.471134088867638,0.307473118105001,TRUE,TRUE,TRUE,"",NA
"sample_046","../../data_raw/samples/transformed-2/sample_046.RDS",0.841016973149243,0.466977156211688,0.318560208238345,TRUE,TRUE,TRUE,"",NA
"sample_047","../../data_raw/samples/transformed-2/sample_047.RDS",0.810064689998673,0.446120911001176,0.355154111158728,TRUE,TRUE,TRUE,"",NA
"sample_048","../../data_raw/samples/transformed-2/sample_048.RDS",0.800000295057712,0.374704025942498,0.222330092629562,TRUE,TRUE,TRUE,"",NA
"sample_049","../../data_raw/samples/transformed-2/sample_049.RDS",0.842152833972974,0.483808045382708,0.321332685430711,TRUE,TRUE,TRUE,"",NA
"sample_050","../../data_raw/samples/transformed-2/sample_050.RDS",0.838985191049559,0.388013712925057,0.327078688574131,TRUE,TRUE,TRUE,"",NA
"sample_051","../../data_raw/samples/transformed-2/sample_051.RDS",0.842794576443185,0.258225771271375,0.294977570044349,TRUE,TRUE,TRUE,"",NA
"sample_052","../../data_raw/samples/transformed-2/sample_052.RDS",0.827312537575749,0.533224230376798,0.302260654527212,TRUE,TRUE,TRUE,"",NA
"sample_053","../../data_raw/samples/transformed-2/sample_053.RDS",0.816374713336005,0.36820035316267,0.341749598992639,TRUE,TRUE,TRUE,"",NA
"sample_054","../../data_raw/samples/transformed-2/sample_054.RDS",0.859027675021021,0.513978317244994,0.300778976868903,TRUE,TRUE,TRUE,"",NA
"sample_055","../../data_raw/samples/transformed-2/sample_055.RDS",0.852370139386468,0.531122609464225,0.356056339106137,TRUE,TRUE,TRUE,"",NA
"sample_056","../../data_raw/samples/transformed-2/sample_056.RDS",0.811086428933193,0.327028234577613,0.317654140517119,TRUE,TRUE,TRUE,"",NA
"sample_057","../../data_raw/samples/transformed-2/sample_057.RDS",0.831774635444016,0.274303032819043,0.258371109694179,TRUE,TRUE,TRUE,"",NA
"sample_058","../../data_raw/samples/transformed-2/sample_058.RDS",0.789266140799322,0.21018473487607,0.228789139877833,TRUE,TRUE,TRUE,"",NA
"sample_059","../../data_raw/samples/transformed-2/sample_059.RDS",0.855721618957624,0.45666190515076,0.337583246767794,TRUE,TRUE,TRUE,"",NA
"sample_060","../../data_raw/samples/transformed-2/sample_060.RDS",0.826568877268414,0.378578526074131,0.335299034402238,TRUE,TRUE,TRUE,"",NA
"sample_061","../../data_raw/samples/transformed-2/sample_061.RDS",0.833228350212436,0.240091647640845,0.301350331146194,TRUE,TRUE,TRUE,"",NA
"sample_062","../../data_raw/samples/transformed-2/sample_062.RDS",0.821327150334541,0.318788005230596,0.281619905950738,TRUE,TRUE,TRUE,"",NA
"sample_063","../../data_raw/samples/transformed-2/sample_063.RDS",0.871969196733534,0.37184967376277,0.293402339529072,TRUE,TRUE,TRUE,"",NA
"sample_064","../../data_raw/samples/transformed-2/sample_064.RDS",0.771634726530447,0.154243688658071,0.24808654682851,TRUE,TRUE,TRUE,"",NA
"sample_065","../../data_raw/samples/transformed-2/sample_065.RDS",0.828136329175027,0.434097933897959,0.313459488343853,TRUE,TRUE,TRUE,"",NA
"sample_066","../../data_raw/samples/transformed-2/sample_066.RDS",0.793200555565919,0.435547892067889,0.322535602745216,TRUE,TRUE,TRUE,"",NA
"sample_067","../../data_raw/samples/transformed-2/sample_067.RDS",0.778633069293945,0.474625432141373,0.358220196475685,TRUE,TRUE,TRUE,"",NA
"sample_068","../../data_raw/samples/transformed-2/sample_068.RDS",0.847417096687898,0.21224824075129,0.385201254363265,TRUE,TRUE,TRUE,"",NA
"sample_069","../../data_raw/samples/transformed-2/sample_069.RDS",0.795158189500509,0.197414389599443,0.317677707477279,TRUE,TRUE,TRUE,"",NA
"sample_070","../../data_raw/samples/transformed-2/sample_070.RDS",0.819686175044897,0.381527473667231,0.290992684805979,TRUE,TRUE,TRUE,"",NA
"sample_071","../../data_raw/samples/transformed-2/sample_071.RDS",0.842441982062902,0.257231376544369,0.28153435345029,TRUE,TRUE,TRUE,"",NA
"sample_072","../../data_raw/samples/transformed-2/sample_072.RDS",0.839567663732386,0.45417358646805,0.353039600419668,TRUE,TRUE,TRUE,"",NA
"sample_073","../../data_raw/samples/transformed-2/sample_073.RDS",0.81254142213312,0.51293760832268,0.274147909750877,TRUE,TRUE,TRUE,"",NA
"sample_074","../../data_raw/samples/transformed-2/sample_074.RDS",0.873870412178681,0.532203637382437,0.355759114013511,TRUE,TRUE,TRUE,"",NA
"sample_075","../../data_raw/samples/transformed-2/sample_075.RDS",0.865990954888973,0.548986377123541,0.386994323655672,TRUE,TRUE,TRUE,"",NA
"sample_076","../../data_raw/samples/transformed-2/sample_076.RDS",0.867667093771322,0.434753493605324,0.347647198254188,TRUE,TRUE,TRUE,"",NA
"sample_077","../../data_raw/samples/transformed-2/sample_077.RDS",0.820316435399875,0.353158853143242,0.277855166499224,TRUE,TRUE,TRUE,"",NA
"sample_078","../../data_raw/samples/transformed-2/sample_078.RDS",0.81749708017103,0.341734665445321,0.310126641552658,TRUE,TRUE,TRUE,"",NA
"sample_079","../../data_raw/samples/transformed-2/sample_079.RDS",0.725343031760841,0.380252376171467,0.263196850388391,TRUE,TRUE,TRUE,"",NA
"sample_080","../../data_raw/samples/transformed-2/sample_080.RDS",0.821569002811645,0.477978407021216,0.31925555270528,TRUE,TRUE,TRUE,"",NA
"sample_081","../../data_raw/samples/transformed-2/sample_081.RDS",0.827002327045671,0.334876663923984,0.278722325734608,TRUE,TRUE,TRUE,"",NA
"sample_082","../../data_raw/samples/transformed-2/sample_082.RDS",0.830349509850452,0.390569556887002,0.299051939993487,TRUE,TRUE,TRUE,"",NA
"sample_083","../../data_raw/samples/transformed-2/sample_083.RDS",0.790718477275457,0.367222737627219,0.239134480155739,TRUE,TRUE,TRUE,"",NA
"sample_084","../../data_raw/samples/transformed-2/sample_084.RDS",0.792521839108851,0.399024762745277,0.310359349877531,TRUE,TRUE,TRUE,"",NA
"sample_085","../../data_raw/samples/transformed-2/sample_085.RDS",0.863850346393109,0.459046183895138,0.312527138639479,TRUE,TRUE,TRUE,"",NA
"sample_086","../../data_raw/samples/transformed-2/sample_086.RDS",0.795019922137817,0.280291301367877,0.307055185844004,TRUE,TRUE,TRUE,"",NA
"sample_087","../../data_raw/samples/transformed-2/sample_087.RDS",0.835243271792161,0.388539157336421,0.312700351016864,TRUE,TRUE,TRUE,"",NA
"sample_088","../../data_raw/samples/transformed-2/sample_088.RDS",0.84257763508639,0.452189186874754,0.336015181635145,TRUE,TRUE,TRUE,"",NA
"sample_089","../../data_raw/samples/transformed-2/sample_089.RDS",0.810098897872433,0.555235897765757,0.315520719456237,TRUE,TRUE,TRUE,"",NA
"sample_090","../../data_raw/samples/transformed-2/sample_090.RDS",0.801851464378749,0.316210207277618,0.313270981878873,TRUE,TRUE,TRUE,"",NA
"sample_091","../../data_raw/samples/transformed-2/sample_091.RDS",0.794212046740184,0.378781792178244,0.221347250082191,TRUE,TRUE,TRUE,"ocu_military",NA
"sample_092","../../data_raw/samples/transformed-2/sample_092.RDS",0.763251322150893,0.167829263011725,0.24433476389518,TRUE,TRUE,TRUE,"",NA
"sample_093","../../data_raw/samples/transformed-2/sample_093.RDS",0.821316147231876,0.400896609054129,0.331646081875067,TRUE,TRUE,TRUE,"",NA
"sample_094","../../data_raw/samples/transformed-2/sample_094.RDS",0.837046760916253,0.349482989385981,0.320030976194431,TRUE,TRUE,TRUE,"",NA
"sample_095","../../data_raw/samples/transformed-2/sample_095.RDS",0.77826021508117,0.162820149352918,0.253586427186743,TRUE,TRUE,TRUE,"",NA
"sample_096","../../data_raw/samples/transformed-2/sample_096.RDS",0.771380075679077,0.337674068725811,0.304816750905688,TRUE,TRUE,TRUE,"",NA
"sample_097","../../data_raw/samples/transformed-2/sample_097.RDS",0.733519054993801,0.366327084560535,0.296392379341221,TRUE,TRUE,TRUE,"",NA
"sample_098","../../data_raw/samples/transformed-2/sample_098.RDS",0.81483828665059,0.363181182033,0.316145486154908,TRUE,TRUE,TRUE,"",NA
"sample_099","../../data_raw/samples/transformed-2/sample_099.RDS",0.859857920962217,0.454860019340543,0.343916282752487,TRUE,TRUE,TRUE,"",NA
"sample_100","../../data_raw/samples/transformed-2/sample_100.RDS",0.845725563749526,0.332107727653702,0.296117285042657,TRUE,TRUE,TRUE,"",NA
"sample_101","../../data_raw/samples/transformed-2/sample_101.RDS",0.86612242519149,0.432223936423282,0.284272369350595,TRUE,TRUE,TRUE,"",NA
